Crop,Variety,Product ID,Seed supplier,Seed Catalog Qty,Seed Catalog Pricing,Days to Germination,Plant Spacing,sowing
Flower,"kale, ornamental - crane pink",3649,johnny's,50,$4.55,10-14 days at 70°F (21°C).,6,"Transplant (recommended): Sow directly in cell packs 4-6 weeks before planting outside. Cover seed with 1/4"" of soil. After germination, grow seedlings at 60°F (21°C) for 3-4 weeks. Harden off one week before planting outside. Plants must be set out several weeks before the first fall frost. Direct seed: Sow 3 months before expected fall frost, 2 seeds per hole, 6"" apart and 1/4"" deep. Thin to one plant per hole."
Flower,larkspur - qis larkspur formula mix,3350,johnny's,100,$3.10,14-21 days at 55°F (13°C). Chill seed for 7 days at 35°F (2°C) to improve germination.,4-6,"Direct seed (recommended): Sow seeds 1/4"" deep in early spring for summer bloom or in fall for bloom the following year. Darkness is required for germination. Seeds do not germinate well when soil temperatures are above 55°F (13°C). Does best where summers are cool. Larkspur plants require vernalization (a period of cool temperatures) to trigger flower development. Plants should ideally stay above freezing but below 55°F (13°C) for the first six weeks of growth [the ideal temperature during the vernalization period is 50°F (10°C)]. Without exposure to this cold period, the plants will not flower well. Use of crop supports, for example, horizontal trellis, is recommended. Transplant: Grow at 55°F (13°C) until ready to plant outside. Plants have tap roots and do not transplant readily."
Flower,nigella - albion black pod,3312,johnny's,50,$4.10,10-14 days at 60-65°F (16-18°C).,2-9,Sow 3-4 times every 2-3 weeks early in season for continuous flower/pod production. Direct seed (recommended) — Sow in early spring when soil temperatures reach 60°F (16°C). Fall sow where winters are mild. Cover lightly with soil as light is required for germination. Transplant — Sow 4-6 weeks before last frost. Plants are sensitive to root disturbance.
Flower,rudbeckia - indian summer (tp),1148,johnny's,100,$4.25,8-14 days at 68-72°F (20-22°C).,12-18,"Transplant: Sow 5-7 weeks before last frost. Cover seed lightly, as light is required for germination. Bottom water or mist to avoid covering seed with displaced soil. Transplant into cell packs or larger containers when the first true leaves appear. Harden off and transplant outside after the danger of frost has passed."
Flower,rudbeckia - cherokee sunset mix (tp),1768,johnny's,100,$4.55,8-14 days at 68-72°F (20-22°C).,12-18,"Transplant: Sow 5-7 weeks before last frost. Cover seed lightly, as light is required for germination. Bottom water or mist to avoid covering seed with displaced soil. Transplant into cell packs or larger containers when the first true leaves appear. Harden off and transplant outside after the danger of frost has passed."
Flower,scabiosa - starflower (a),3785,johnny's,50,$4.35,10-12 days at 65-70°F (18-21°C),9-15,"Transplant (recommended) - Sow 4-6 weeks before last frost. Barely cover as light aids germination. Transplant to cell packs or larger containers when the first true leaves appear. In the greenhouse, grow transplants at 50-55°F (10-13°C) to keep the plants from stretching. Harden off and transplant outside after the last frost. Direct seed - After last frost date. Successive plantings every 2-3 weeks until midsummer give the best quality flowers and pods. May require support."
Flower,snap dragon - rocket mix,1267,johnny's,100,$4.10,7-14 days at 70-75°F (21-24°C),4-12,"Transplant (recommended) - Sow 8-10 weeks before last frost. Light is required for germination, but a fine layer of vermiculite covering the seeds can maintain moisture levels and prevent algae growth. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear, approximately 3-4 weeks after sowing. If desired, for a bushier plant that produces more flower-producing side branches, pinch young plants back by half their height when plants have formed 4-6 leaves or are approximately 3-4 inches tall. Pinching will delay the crop time by a few weeks. If pinching, space plants 6-12 inches apart. Direct seeding is not recommended."
Flower,statice - seeker series - blue,3705,johnny's,100,$4.35,5-14 days at 70°F (21°C).,12,"Transplant (recommended): Sow 5-6 weeks before last frost, barely covering the seed as light is required for germination. Provide temperatures of 60°F (16°C) for 1-2 weeks after the seedlings emerge to encourage rooting. Transplant to cell packs or larger containers when true leaves appear. Harden off and plant outside after the last frost. Direct seeding is not recommended."
Flower,statice - rose shades,3720,johnny's,100,$4.35,5-14 days at 70°F (21°C).,12,"Transplant (recommended): Sow 5-6 weeks before last frost, barely covering the seed as light is required for germination. Provide temperatures of 60°F (16°C) for 1-2 weeks after the seedlings emerge to encourage rooting. Transplant to cell packs or larger containers when true leaves appear. Harden off and plant outside after the last frost. Direct seeding is not recommended."
Flower,strawflower - copper red,3440,johnny's,50,$4.55,7-10 days at 70-75°F (21-24°C).,10-12,"Transplant — Sow 3-5 weeks before last frost. Do not cover seed as light is required for germination. Bottom water or mist to avoid covering seeds with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside after the danger of frost has passed. Direct seed — Sow after last frost, only where summers are very long. Trellis, such as Hortonova, used as horizontal support, may be necessary."
Flower,strawflower - vintage white,3330,johnny's,50,$4.55,7-10 days at 70-75°F (21-24°C).,10-12,"Transplant — Sow 3-5 weeks before last frost. Do not cover seed as light is required for germination. Bottom water or mist to avoid covering seeds with displaced soil. Transplant to cell packs or larger containers when the first true leaves appear. Harden off and transplant outside after the danger of frost has passed. Direct seed — Sow after last frost, only where summers are very long. Trellis, such as Hortonova, used as horizontal support, may be necessary."
Flower,stock - Quartet Rainbow,3687,johnny's,50,$4.55,7-14 days at 65-75°F (18-24°C).,6,"Transplant — Sow 2 seeds/cell, 1/4"" deep in 128-cell plug trays 5-6 weeks before last frost. Cover seeds lightly with vermiculite to help retain moisture. Transplant to cell packs or larger containers 14-21 days after sowing. Direct seed — Sow seed after last frost."
Flower,yarrow - colorado mix,3878G,johnny's,100,$4.75,10-14 days at 65-72°F (18-22°C).,12-24,"Transplant (recommended): Sow 8-10 weeks before last frost. Do not cover seed as light is required for germination. Bottom water or mist lightly to avoid covering the seed with displaced soil. Transplant to cell packs or 2-4"" containers when the first true leaves appear, approximately 3 weeks after sowing. Harden off and transplant outside after the last frost. Direct seed: Sow seed in late spring, after late frost, early summer, or fall. Thin to stand 12-24"" apart. Support may be necessary."
Flower,zinnia - benary's giant mix,1346,johnny's,50,$4.55,3-5 days at 80-85°F (27-29°C). A heat mat can help maintain an accurate temperature. Lower temperatures will result in slower germination.,9-12,"Transplant: Sow 4 weeks before last frost. Cover seed and keep soil surface moist until emergence. When seedlings have true leaves, transplant into cell packs. Do not allow plants to become root bound and do not disturb roots; transplant shock may cause double to revert back to singles. Direct seed: After last frost when the soil is warm, sow thinly, 6 seeds per foot, 1/4"" deep. Cover lightly but firmly. Keep surface from drying out until emergence. Thin after the first true leaves appear."
Flower,zinnia - queen series lime orange,3355,johnny's,50,$4.95,3-5 days at 80-85°F (27-29°C). A heat mat can help maintain an accurate temperature. Lower temperatures will result in slower germination.,9-12,"Transplant: Sow 4 weeks before last frost. Cover seed and keep soil surface moist until emergence. When seedlings have true leaves, transplant into cell packs. Do not allow plants to become root bound and do not disturb roots; transplant shock may cause double to revert back to singles. Direct seed: After last frost when the soil is warm, sow thinly, 6 seeds per foot, 1/4"" deep. Cover lightly but firmly. Keep surface from drying out until emergence. Thin after the first true leaves appear."
