"","product_id","flower","variety","days_to_germination","sowing","light_preference","soil_requirements","plant_spacing","hardiness_zones","harvest","uses","scientific_name","alternate_names","plant_height","soil","alternate_name","p_h","tips","transplant","direct_seed","dried","stem_length","scientific_names","vase_life","notes","pelleted_seed","direct_seed_recommended","fresh","note","cut_flowers","edible","soil_requirements_2","uses_2","growing_on","scientific_na_me","light_requirements","use","pods","edible_flowers","special_instructions","disease","note_in_hardiness_zones_9_10","planting_bulbs","storage_temperature","alternate_common_names","selection","store_bulbs_if_you_cant_plant_right_away","note_on_tulips_in_hardiness_zones_8_10","mulch","inspecting_your_bulbs","pests_and_diseases","x","light_preferences"
"11","3393G","Amaranthus","Hopi Red DyeOrganic Amaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1139","Amaranthus","Love-Lies-BleedingAmaranthus Seed","7-10 days at 70-75°F (21-24°C).","Support may be necessary.","Sun.","Well-drained soil.","12-15"". For upright, plume type, thinner and more manageable stems can be achieved using a tighter spacing of 3-6"".","Annual.","Fresh: Harvest when at least 3/4 of the flowers on the inflorescence are open.","Fresh or dried cut flower, back of bed, accent in borders, and containers.","Amaranthus spp.",NA,NA,NA,NA,NA,NA,"Sow 4-6 weeks before the last frost. Barely cover seed. Bottom water or mist to avoid covering seeds with displaced soil. Harden off by growing at 62-65°F (17-18°C) and transplant outside after last frost.","After last frost, sow thinly, barely covering the seed. When seedlings have first true leaves, thin to 12-15"" apart.","Harvest when seed has begun to set and flowers feel firm to the touch. To dry, hang nontrailing varieties upside down. Stand trailing varieties upright in a bucket or other tall container to maintain the draped appearance.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1968","Ammi (False Queen Anne's Lace)","DaraDaucus Seed","12-16 days at 60-65°F (16-18°C)","Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas.","Sun.",NA,"3-12"".","Annual.","Harvesting before 80% of flowers are open tends to reduce the uptake of water and cause the flowers to wilt. Dried: When the flowers are fully open and with no hint of pollen shed.","Excellent cut flower. Backs of beds and borders.",NA,"Queen Anne's lace, false queen Anne's lace, ornamental carrot, wild carrot, lace flower, false bishop's weed, large bullwort, bishop's weed, toothpickweed","36-50"" May need support if exposed to windy areas.","Average, well-drained soil. Established plants will tolerate dry soils.",NA,NA,NA,NA,NA,NA,"12 -50"".","Ammi spp., Daucus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1758G","Ammi (False Queen Anne's Lace)","Green MistOrganic Ammi Seed","12-16 days at 60-65°F (16-18°C)","Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas.","Sun.",NA,"3-12"".","Annual.","Harvesting before 80% of flowers are open tends to reduce the uptake of water and cause the flowers to wilt. Dried: When the flowers are fully open and with no hint of pollen shed.","Excellent cut flower. Backs of beds and borders.",NA,"Queen Anne's lace, false queen Anne's lace, ornamental carrot, wild carrot, lace flower, false bishop's weed, large bullwort, bishop's weed, toothpickweed","36-50"" May need support if exposed to windy areas.","Average, well-drained soil. Established plants will tolerate dry soils.",NA,NA,NA,NA,NA,NA,"12 -50"".","Ammi spp., Daucus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1758","Ammi (False Queen Anne's Lace)","Green MistAmmi Seed","12-16 days at 60-65°F (16-18°C)","Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas.","Sun.",NA,"3-12"".","Annual.","Harvesting before 80% of flowers are open tends to reduce the uptake of water and cause the flowers to wilt. Dried: When the flowers are fully open and with no hint of pollen shed.","Excellent cut flower. Backs of beds and borders.",NA,"Queen Anne's lace, false queen Anne's lace, ornamental carrot, wild carrot, lace flower, false bishop's weed, large bullwort, bishop's weed, toothpickweed","36-50"" May need support if exposed to windy areas.","Average, well-drained soil. Established plants will tolerate dry soils.",NA,NA,NA,NA,NA,NA,"12 -50"".","Ammi spp., Daucus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1034","Ammi (False Queen Anne's Lace)","White DillAmmi Seed","12-16 days at 60-65°F (16-18°C)","Direct seed (recommended) - In early spring after last frost (sow in the fall in the South). Sow seed thinly in rows, covering lightly. Make 2-3 successive sowings, 2 weeks apart for a continuous summer harvest. Transplant - Sow 4-6 weeks before planting out. When first true leaves appear, transplant into larger containers. Harden off and transplant outdoors after last frost. Tips: chill seed at 40-45°F(5-8°C) for 1-2 weeks prior to sowing in the greenhouse. Cooler temperatures of 58-62°F(14-17°C) are best for seedling establishment. Support may be needed if grown in windy areas.","Sun.",NA,"3-12"".","Annual.","Harvesting before 80% of flowers are open tends to reduce the uptake of water and cause the flowers to wilt. Dried: When the flowers are fully open and with no hint of pollen shed.","Excellent cut flower. Backs of beds and borders.",NA,"Queen Anne's lace, false queen Anne's lace, ornamental carrot, wild carrot, lace flower, false bishop's weed, large bullwort, bishop's weed, toothpickweed","36-50"" May need support if exposed to windy areas.","Average, well-drained soil. Established plants will tolerate dry soils.",NA,NA,NA,NA,NA,NA,"12 -50"".","Ammi spp., Daucus spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","3800","Ammobium","Winged EverlastingAmmobium Seed","4-8 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 5-6 weeks before the last frost. Cover seed lightly.","Sun.","Light well-drained soil with a pH of 5.5-6.5.","6-9"".","Zones 9-10.","Fresh or Dried - Cut before yellow centers show when flowers are half opened. Hang to dry. Blooms continue to open as they dry.","Excellent cut or dried flower. Beds and borders.","Ammobium alatum",NA,"20-26"".",NA,"Winged everlasting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1700","Artemisia (Sweet Annie)","Sweet AnnieOrganic Artemisia Seed","7-21 days at 70-75°F (21-24°C)","Transplant - Sow 5-6 weeks before last frost. Barely cover the seed. Bottom water or mist to avoid covering the seed with displaced soil. Transplant to cell packs or larger containers when the seedlings have the second set of true leaves. Harden off and transplant outside after the danger of frost has passed. Direct seed - Sow after last frost. Cover seed lightly with soil. Broadcast seeding is not recommended. Keep moist. Thin to desired spacing.","Sun.","Average soil.","12-24"".","Annual.","Fresh or Dried - Once flower heads have developed on stems.",NA,"Artemisia annua","Sweet sagewort, sweet wormwood, Chinese wormwood","48-72"".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2347G","Asclepias (Butterfly Weed)","Pleurisy RootOrganic Asclepias Seed","14-21 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 7-9 weeks before last frost. Sow 1/4"" deep into a seed starting mix. Begins taproot growth upon germination. Do not allow to become pot bound at any time as plants will deteriorate rapidly. Transplant into larger cell packs or 3-4"" pots 3-5 weeks after sowing. Harden off and transplant outdoors after the last frost. Direct seed - Can be direct sown in the fall or spring.","Sun.",NA,"12-24"".","Varies.","1/2 to 2/3 of flowers are open. If stems wilt after harvest, rehydrate in water for 24 hours. CAUTION: Milky sap may cause eye and skin irritation.","Cut flower. Borders, containers, and butterfly gardens.","Asclepias spp.",NA,"Varies.","Well-drained, sandy loam to poor soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1641","Asclepias (Butterfly Weed)","Silky Formula MixAsclepias Seed","14-21 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 7-9 weeks before last frost. Sow 1/4"" deep into a seed starting mix. Begins taproot growth upon germination. Do not allow to become pot bound at any time as plants will deteriorate rapidly. Transplant into larger cell packs or 3-4"" pots 3-5 weeks after sowing. Harden off and transplant outdoors after the last frost. Direct seed - Can be direct sown in the fall or spring.","Sun.",NA,"12-24"".","Varies.","1/2 to 2/3 of flowers are open. If stems wilt after harvest, rehydrate in water for 24 hours. CAUTION: Milky sap may cause eye and skin irritation.","Cut flower. Borders, containers, and butterfly gardens.","Asclepias spp.",NA,"Varies.","Well-drained, sandy loam to poor soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1794","Asclepias (Butterfly Weed)","OscarAsclepias Seed","14-21 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 7-9 weeks before last frost. Sow 1/4"" deep into a seed starting mix. Begins taproot growth upon germination. Do not allow to become pot bound at any time as plants will deteriorate rapidly. Transplant into larger cell packs or 3-4"" pots 3-5 weeks after sowing. Harden off and transplant outdoors after the last frost. Direct seed - Can be direct sown in the fall or spring.","Sun.",NA,"12-24"".","Varies.","1/2 to 2/3 of flowers are open. If stems wilt after harvest, rehydrate in water for 24 hours. CAUTION: Milky sap may cause eye and skin irritation.","Cut flower. Borders, containers, and butterfly gardens.","Asclepias spp.",NA,"Varies.","Well-drained, sandy loam to poor soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2347","Asclepias (Butterfly Weed)","Pleurisy RootAsclepias Seed","14-21 days at 65-70°F (18-21°C)","Transplant (recommended) - Sow 7-9 weeks before last frost. Sow 1/4"" deep into a seed starting mix. Begins taproot growth upon germination. Do not allow to become pot bound at any time as plants will deteriorate rapidly. Transplant into larger cell packs or 3-4"" pots 3-5 weeks after sowing. Harden off and transplant outdoors after the last frost. Direct seed - Can be direct sown in the fall or spring.","Sun.",NA,"12-24"".","Varies.","1/2 to 2/3 of flowers are open. If stems wilt after harvest, rehydrate in water for 24 hours. CAUTION: Milky sap may cause eye and skin irritation.","Cut flower. Borders, containers, and butterfly gardens.","Asclepias spp.",NA,"Varies.","Well-drained, sandy loam to poor soil.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1833","Aster","Tower Custom MixChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3465","Aster","King Size ApricotChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3500","Aster","Valkyrie Brunhilde ChamoisChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","3499","Aster","Lady Coral LavenderChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","1916","Aster","Valkyrie MixChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3322","Aster","Tower VioletChina Aster Seed","10-14 days at 70-72°F (21-22°C)","Transplant (recommended) - Sow 1/8"" deep in flats indoors 6-8 weeks before last frost. Direct seed - After last frost. Provide support. Row covers help prevent spread of disease by leafhoppers.","Sun.","Fertile, well-drained soil. pH: 5.5-7.5 preferred.","6-12"".","Annual.","Outside ray florets begin to open. Place immediately in water.",NA,"Callistephus chinensis",NA,"Varies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-10 days.","Support, such as Hortonova (horizontal mesh) is recommended. Row covers help prevent spread of disease by leafhoppers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
